City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
85,Presidencia Roque Saenz Pena,-26.7852,-60.4388,76.5,52,0,5.57,clear sky
86,Raga,8.4596,25.678,74.98,27,98,6.11,overcast clouds
87,General Roca,-39.0333,-67.5833,79.2,24,0,10.56,clear sky
88,Adrar,20.5022,-10.0711,60.53,14,100,10.18,overcast clouds
89,Mus,39.0,41.75,28.0,80,2,3.06,clear sky
90,Pacific Grove,36.6177,-121.9166,59.61,86,1,1.01,clear sky
91,Fare,-16.7,-151.0167,81.25,72,74,14.74,broken clouds
92,Price,39.5994,-110.8107,47.46,19,1,5.75,clear sky
93,Seymchan,62.8833,152.4333,-46.37,97,54,0.49,broken clouds
94,Humaita,-7.5061,-63.0208,75.11,98,100,1.92,light rain
95,Jalu,29.0331,21.5482,55.4,63,2,6.96,clear sky
96,Avarua,-21.2078,-159.775,82.45,78,75,8.05,light rain
97,Moose Factory,51.2585,-80.6094,10.4,79,75,5.75,broken clouds
98,Pitimbu,-7.4706,-34.8086,79.39,77,55,15.43,broken clouds
99,Mount Isa,-20.7333,139.5,83.97,45,89,14.97,overcast clouds
100,Qaanaaq,77.484,-69.3632,20.5,85,100,5.82,overcast clouds
101,Puerto Penasco,31.3167,-113.5333,70.92,47,0,1.99,clear sky
102,Thompson,55.7435,-97.8558,-20.04,76,1,6.91,clear sky
103,Ust-Nera,64.5667,143.2,-22.49,98,100,5.35,light snow
104,Quatre Cocos,-20.2078,57.7625,77.11,75,14,12.21,light rain
105,Oros,-6.2444,-38.9136,85.86,51,98,8.7,overcast clouds
106,Mitsamiouli,-11.3847,43.2844,80.65,77,11,12.64,few clouds
107,Lawton,34.6087,-98.3903,69.42,73,1,9.22,clear sky
108,Sarangani,5.4033,125.4636,82.51,75,100,9.37,overcast clouds
109,Rio Gallegos,-51.6226,-69.2181,59.05,25,0,9.22,clear sky
110,Cairns,-16.9167,145.7667,93.11,54,6,17.27,clear sky
111,Nemuro,43.3236,145.575,39.63,67,2,17.2,clear sky
112,Russell,32.3502,-85.1999,63.63,85,1,3.44,clear sky
113,Fort Dodge,42.4975,-94.168,42.82,52,75,23.02,broken clouds
114,Saint-Philippe,-21.3585,55.7679,76.55,78,37,11.01,scattered clouds
115,Torbay,47.6666,-52.7314,33.76,92,90,11.5,light shower snow
116,Hilo,19.7297,-155.09,79.29,86,90,18.41,light rain
117,Flinders,-34.5833,150.8552,73.18,66,100,6.53,overcast clouds
118,Cidreira,-30.1811,-50.2056,69.48,87,72,13.56,broken clouds
119,Puerto Maldonado,-12.6,-69.1833,72.93,99,100,1.59,overcast clouds
120,Cape Town,-33.9258,18.4232,61.12,89,75,1.99,light rain
121,Port Elizabeth,-33.918,25.5701,64.09,100,0,12.66,light rain
122,Wilmington,34.2257,-77.9447,60.85,90,75,0.0,broken clouds
123,Hermosillo,29.0667,-110.9667,76.91,29,1,1.99,clear sky
124,Meulaboh,4.1363,96.1285,78.12,81,72,3.56,broken clouds
125,Vao,-22.6667,167.4833,75.97,81,100,13.02,overcast clouds
126,Mar Del Plata,-38.0023,-57.5575,63.88,81,0,15.01,clear sky
127,Zhigansk,66.7697,123.3711,-27.35,97,100,7.43,overcast clouds
128,Roma,43.2128,-75.4557,43.43,67,90,1.01,overcast clouds
129,Tazovskiy,67.4667,78.7,-12.6,88,100,15.39,overcast clouds
130,Guerrero Negro,27.9769,-114.0611,63.39,82,0,14.56,clear sky
131,Yuzhno-Kurilsk,44.0306,145.8556,43.11,70,7,9.17,clear sky
132,Provideniya,64.3833,-173.3,28.51,86,90,15.66,snow
133,Broken Hill,-31.95,141.4333,80.83,21,65,1.77,broken clouds
134,Asau,46.4333,26.4,32.95,84,99,2.75,overcast clouds
135,Lubaczow,50.157,23.1234,33.28,98,100,2.51,overcast clouds
136,Souillac,-20.5167,57.5167,77.38,83,75,11.5,broken clouds
137,Bathsheba,13.2167,-59.5167,81.21,74,40,18.41,scattered clouds
138,Salamiyah,35.0113,37.0532,49.68,55,0,1.63,clear sky
139,Bilibino,68.0546,166.4372,-18.58,99,100,2.75,light snow
140,Bowen,-20.0167,148.2333,84.36,60,6,16.35,clear sky
141,Samarai,-10.6167,150.6667,84.07,72,100,9.98,overcast clouds
142,Saint-Pierre,-21.3393,55.4781,76.64,69,0,6.91,clear sky
143,Sao Filipe,14.8961,-24.4956,75.29,74,14,10.56,few clouds
144,Salinopolis,-0.6136,-47.3561,79.74,85,18,10.94,few clouds
145,Jacareacanga,-6.2222,-57.7528,73.72,96,100,1.86,overcast clouds
146,Nara,34.6851,135.8049,52.97,59,100,1.36,overcast clouds
147,Schluchtern,50.3489,9.5253,37.11,94,45,2.13,scattered clouds
148,Siniscola,40.5719,9.6922,44.15,69,100,13.15,overcast clouds
149,Baguanos,20.7517,-76.0269,79.09,85,96,12.86,overcast clouds
150,Port-Gentil,-0.7193,8.7815,79.56,85,100,13.58,light rain
151,Esperance,-33.8667,121.9,71.44,67,98,12.91,overcast clouds
152,Broome,42.2506,-75.833,42.85,54,90,3.0,overcast clouds
153,Waldkirch,48.0959,7.9637,37.72,90,83,0.98,broken clouds
154,Upernavik,72.7868,-56.1549,26.22,79,100,4.79,overcast clouds
155,Naze,28.3667,129.4833,67.12,68,62,15.26,broken clouds
156,Potsdam,52.3989,13.0657,35.73,97,100,5.99,overcast clouds
157,Port Hardy,50.6996,-127.4199,37.76,80,90,5.75,overcast clouds
158,Pangkalanbuun,-2.6833,111.6167,77.92,89,99,4.25,overcast clouds
159,Rabo De Peixe,37.8,-25.5833,62.28,96,75,5.75,broken clouds
160,Ust-Kuyga,70.0167,135.6,-20.33,98,100,2.44,overcast clouds
161,Butaritari,3.0707,172.7902,80.98,81,94,12.75,moderate rain
162,Saskylakh,71.9167,114.0833,-34.22,99,92,4.76,overcast clouds
163,Kendari,-3.945,122.4989,81.05,84,100,2.53,overcast clouds
164,Sorong,-0.8833,131.25,82.96,79,100,5.93,overcast clouds
165,Lafia,8.4833,8.5167,77.79,31,35,2.44,scattered clouds
166,Port Alfred,-33.5906,26.891,67.95,94,77,12.73,broken clouds
167,Caucaia,-3.7361,-38.6531,85.06,76,75,13.8,broken clouds
168,Puerto Ayora,-0.7393,-90.3518,68.22,88,12,9.1,few clouds
169,Sovetskiy,61.3614,63.5842,-3.37,97,100,2.57,overcast clouds
170,Tahta,26.7693,31.5021,53.71,61,94,5.28,overcast clouds
171,Christchurch,-43.5333,172.6333,55.02,87,75,6.91,light rain
172,Les Cayes,18.2,-73.75,76.46,80,26,3.6,scattered clouds
173,Okhotsk,59.3833,143.3,-8.48,88,18,13.0,few clouds
174,Nurota,40.5614,65.6886,33.89,79,0,4.81,clear sky
175,Lazaro Cardenas,17.9583,-102.2,77.97,83,86,4.81,overcast clouds
176,Vaini,-21.2,-175.2,86.16,79,75,10.36,broken clouds
177,Lebu,-37.6167,-73.65,56.82,85,0,12.97,clear sky
178,Belton,38.812,-94.5319,54.64,56,1,5.99,clear sky
179,Norman Wells,65.282,-126.8329,-14.26,81,14,5.17,few clouds
180,Iqaluit,63.7506,-68.5145,10.13,72,90,11.99,light snow
181,Mysliborz,52.9238,14.8679,32.25,95,100,8.16,overcast clouds
182,Nakonde,-9.3421,32.745,59.14,82,82,2.48,broken clouds
183,Ostrovnoy,68.0531,39.5131,10.45,74,88,23.42,overcast clouds
184,Vostok,46.4856,135.8833,29.55,92,100,6.73,overcast clouds
185,Tyup,42.7276,78.3648,26.65,75,100,4.97,overcast clouds
186,The Valley,18.217,-63.0578,81.1,70,89,22.06,overcast clouds
187,Chancay,-11.5714,-77.2672,69.31,87,100,6.62,overcast clouds
188,Pandhana,21.7,76.2167,63.37,57,0,2.91,clear sky
189,Dingle,10.9995,122.6711,79.43,76,48,12.41,scattered clouds
190,Surab,28.4914,66.2585,38.3,29,25,8.93,scattered clouds
191,Bilma,18.6853,12.9164,64.09,19,4,7.36,clear sky
192,Hami,42.8,93.45,28.47,53,81,2.8,broken clouds
193,Coihaique,-45.5752,-72.0662,54.27,87,13,5.08,few clouds
194,Cayenne,4.9333,-52.3333,78.1,90,90,1.14,overcast clouds
195,Viedma,-40.8135,-62.9967,67.39,34,0,14.54,clear sky
196,Constitucion,-35.3333,-72.4167,56.82,91,6,6.29,clear sky
197,Ceres,37.5949,-120.9577,53.8,80,1,4.61,clear sky
198,Kruisfontein,-34.0033,24.7314,61.88,89,19,16.84,light rain
199,Tual,-5.6667,132.75,83.44,77,100,14.29,overcast clouds
200,Houma,29.5958,-90.7195,71.01,91,1,4.61,clear sky
201,Nakapiripirit,1.9167,34.7833,67.12,63,100,6.82,overcast clouds
202,Wanning,18.8003,110.3967,67.46,59,100,11.14,overcast clouds
203,Ilo,-17.6394,-71.3375,66.52,85,100,1.45,overcast clouds
204,Bartica,6.4,-58.6167,77.32,98,100,2.42,overcast clouds
205,Luang Prabang,19.8856,102.1347,57.16,100,20,0.0,mist
206,Tayoltita,24.0833,-105.9333,62.01,65,100,2.04,overcast clouds
207,Mangai,-4.05,19.5333,68.94,99,100,1.25,overcast clouds
208,Napajedla,49.1716,17.5119,36.25,93,100,4.14,light snow
209,Florence,43.7667,11.25,44.69,90,0,8.05,clear sky
210,Aklavik,68.2191,-135.0107,-3.17,89,18,9.19,few clouds
211,Emerald,-23.5333,148.1667,82.54,65,90,8.05,overcast clouds
212,Nyanguge,-2.55,33.2,70.38,75,98,7.02,overcast clouds
213,Hamilton,39.1834,-84.5333,60.21,92,75,1.01,broken clouds
214,San Quintin,30.4833,-115.95,59.77,85,0,11.01,clear sky
215,Nome,64.5011,-165.4064,30.27,93,90,31.07,snow
216,Torbat-E Jam,35.244,60.6225,39.83,54,7,0.81,clear sky
217,Te Anau,-45.4167,167.7167,51.51,65,99,5.68,overcast clouds
218,Nhulunbuy,-12.2333,136.7667,88.41,62,40,9.22,scattered clouds
219,Bambous Virieux,-20.3428,57.7575,77.25,83,75,11.5,light rain
220,Providencia,28.7167,-111.5833,78.85,51,0,11.9,clear sky
221,Derzhavinsk,51.1,66.3167,14.54,87,100,6.2,overcast clouds
222,Ossora,59.2353,163.0719,17.67,82,100,10.49,overcast clouds
223,Ibra,22.6906,58.5334,62.83,75,0,3.65,clear sky
224,Selden,40.8665,-73.0357,46.74,66,90,3.0,overcast clouds
225,Koryazhma,61.3143,47.1691,-9.9,100,94,2.37,overcast clouds
226,Saldanha,-33.0117,17.9442,60.85,90,100,16.46,overcast clouds
227,Kangaatsiaq,68.3065,-53.4641,28.26,87,100,14.9,snow
228,Grindavik,63.8424,-22.4338,37.35,93,40,10.36,scattered clouds
229,Haines Junction,60.7522,-137.5108,-0.4,100,100,1.74,overcast clouds
230,Monrovia,6.3005,-10.7969,74.97,83,8,7.67,moderate rain
231,Myaundzha,63.0494,147.1858,-38.47,97,92,1.48,overcast clouds
232,Faanui,-16.4833,-151.75,81.34,67,6,13.82,clear sky
233,Sur,22.5667,59.5289,71.53,72,0,2.13,clear sky
234,Richards Bay,-28.783,32.0377,77.23,70,100,14.14,overcast clouds
235,Urumqi,43.801,87.6005,20.35,74,77,4.47,smoke
236,Kahului,20.8947,-156.47,74.84,93,90,0.0,heavy intensity rain
237,Aquiraz,-3.9014,-38.3911,85.21,68,49,14.65,scattered clouds
238,Callaway,30.153,-85.5699,66.96,89,40,1.01,scattered clouds
239,Alofi,-19.0595,-169.9187,82.29,74,100,18.41,light rain
240,Tadine,-21.55,167.8833,81.3,74,44,10.83,scattered clouds
