City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
171,Panaba,MX,70.14,clear sky,21.2833,-88.2667,Hotel California
174,San Patricio,US,75.07,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
178,Kindu,CD,69.93,light rain,-2.95,25.95,Résidence Okanda
180,Port Shepstone,ZA,72.32,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
184,Nicoya,CR,74.46,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
186,Kruisfontein,ZA,61.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
187,Bambous Virieux,MU,77.22,clear sky,-20.3428,57.7575,Casa Tia Villa
188,Dalaba,GN,61.88,few clouds,10.7,-12.25,Hôtel Tangama
191,Namibe,AO,71.26,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
199,Ponta Do Sol,PT,65.03,few clouds,32.6667,-17.1,Hotel do Campo
203,Carnarvon,AU,79.7,clear sky,-24.8667,113.6333,Hospitality Carnarvon
204,Comodoro Rivadavia,AR,60.66,clear sky,-45.8667,-67.5,Austral Hotel
205,Camana,PE,68.23,overcast clouds,-16.6228,-72.7111,Hostal Morales
207,Castro,BR,60.58,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
210,Eyl,SO,73.09,clear sky,7.9803,49.8164,Amiin Hotel
211,Sri Aman,MY,77.0,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
217,Celestun,MX,73.26,clear sky,20.8667,-90.4,Posada Lilia
221,Umm Lajj,SA,71.62,broken clouds,25.0213,37.2685,Moon light Furnished Units
225,Kahului,US,74.46,heavy intensity rain,20.8947,-156.47,Maui Seaside Hotel
228,Wenzhou,CN,62.31,clear sky,27.9994,120.6668,温州喜来登酒店
239,Caraz,PE,63.09,light rain,-9.0486,-77.81,Hostal La Alameda
240,Islamnagar,IN,66.56,broken clouds,28.3333,78.7167,AFGAN MASJID
246,Camacha,PT,61.56,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
250,Malakal,SS,75.42,clear sky,9.5334,31.6605,Nile Palace Hotel
253,Ahuimanu,US,71.46,light rain,21.4447,-157.8378,Paradise Bay Resort
254,Paraiso,CR,67.06,broken clouds,9.8383,-83.8656,Hotel Rinconcito Verde
258,Axim,GH,79.3,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
260,Camopi,GF,71.83,overcast clouds,3.1655,-52.3158,La pousada
265,Kisangani,CD,70.88,overcast clouds,0.5167,25.2,Grand Ramela Hotel
270,Guaruja,BR,78.17,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
271,Gunjur,GM,69.87,clear sky,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
272,Puerto Madryn,AR,66.11,clear sky,-42.7692,-65.0385,Hotel Tolosa
274,Luau,AO,62.87,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
277,Kaeo,NZ,72.86,broken clouds,-35.1,173.7833,Bushido Lodge
278,Lodja,CD,69.42,light rain,-3.4833,23.4333,
283,Xique-Xique,BR,76.01,few clouds,-10.8218,-42.7263,Hotel J. Macedo
286,Port Elizabeth,ZA,64.09,light rain,-33.918,25.5701,39 On Nile Guest House
288,Vila Velha,BR,75.15,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
289,Biltine,TD,72.63,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
290,Adrar,MR,60.17,overcast clouds,20.5022,-10.0711,
291,Bilma,NE,62.28,clear sky,18.6853,12.9164,Expeditions Ténére voyages
292,Planaltina,BR,68.29,light rain,-15.4528,-47.6142,Retiro Maranata
293,Kempsey,AU,73.94,overcast clouds,-31.0833,152.8333,Park Drive Motel
296,Cordoba,AR,69.24,overcast clouds,-31.4135,-64.1811,Hotel Sussex
297,Ouango,CF,70.45,broken clouds,4.3133,22.5552,
299,Arraial Do Cabo,BR,73.87,light rain,-22.9661,-42.0278,Pousada Porto Praia
307,Barra Do Garcas,BR,73.06,few clouds,-15.89,-52.2567,Hotel Pousada Tropical
309,Jangaon,IN,72.36,clear sky,17.7167,79.1833,Sri Lakshmi Narasimha Fuction Hall
310,Los Llanos De Aridane,ES,62.35,broken clouds,28.6585,-17.9182,Valle Aridane
311,Esperance,AU,65.12,overcast clouds,-33.8667,121.9,Hospitality Esperance
312,Salalah,OM,69.85,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
313,Ponta Delgada,PT,61.52,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
318,Sinnamary,GF,76.48,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
323,Batesville,US,70.21,broken clouds,35.7698,-91.641,"Holiday Inn Express & Suites Batesville, an IHG Hotel"
324,Barra,BR,76.51,broken clouds,-11.0894,-43.1417,Motel Albatroz
325,Raglan,NZ,79.09,overcast clouds,-37.8,174.8833,Raglan Sunset Motel
328,Nishihara,JP,72.68,scattered clouds,26.1842,127.7558,Minshuku Agaihama
331,Saint-Joseph,RE,79.16,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
332,Acara,BR,73.69,overcast clouds,-1.9608,-48.1967,Hotel Vale do Acará
335,Trelew,AR,67.96,clear sky,-43.249,-65.3051,Hotel Touring Club
336,Samfya,ZM,69.04,few clouds,-11.3649,29.5565,Chita Lodge Samfya
338,Pucallpa,PE,75.24,broken clouds,-8.3791,-74.5539,Hospedaje Komby
342,Sungaipenuh,ID,77.36,broken clouds,-2.0833,101.3833,penginapan citra alam
345,Warrnambool,AU,79.81,scattered clouds,-38.3833,142.4833,Lady Bay Resort
347,Singkang,MY,78.78,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
350,Hirara,JP,72.27,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
357,Riohacha,CO,78.87,few clouds,11.5444,-72.9072,Hotel Taroa
359,Magaria,NE,67.03,few clouds,12.9983,8.9099,Chez Honorable Chapiou
